1,BTS,1,2,25,2017-04-15
2,Ariana Grande,4,2,228,2017-04-15
3,Justin Bieber,2,1,332,2017-04-15
4,Shawn Mendes,5,2,119,2017-04-15
5,Nicki Minaj,12,2,327,2017-04-15
6,Zayn,8,2,60,2017-04-15
7,Louis Tomlinson,38,2,15,2017-04-15
8,Maluma,9,2,24,2017-04-15
9,Ed Sheeran,6,3,117,2017-04-15
10,Lali,45,2,42,2017-04-15
11,Demi Lovato,11,2,321,2017-04-15
12,Martin Garrix,26,2,142,2017-04-15
13,Chris Brown,10,2,302,2017-04-15
14,Selena Gomez,7,2,328,2017-04-15
15,Shakira,18,2,326,2017-04-15
16,The Weeknd,14,2,80,2017-04-15
17,Drake,3,2,307,2017-04-15
18,Katy Perry,20,1,328,2017-04-15
19,Gorillaz,120,2,1,2017-04-15
20,The Chainsmokers,43,2,34,2017-04-15
21,Rihanna,17,1,321,2017-04-15
22,Adele,16,1,240,2017-04-15
23,Niall Horan,23,2,26,2017-04-15
24,Madison Beer,120,2,4,2017-04-15
25,Bruno Mars,22,2,261,2017-04-15
26,Lady Gaga,120,1,322,2017-04-15
27,TAEYEON,120,2,7,2017-04-15
28,Liam Payne,120,2,10,2017-04-15
29,Wiz Khalifa,31,2,316,2017-04-15
30,J Balvin,24,2,22,2017-04-15
31,Marshmello,42,2,26,2017-04-15
32,Lauren Jauregui,15,2,17,2017-04-15
33,Snoop Dogg,27,2,293,2017-04-15
34,BLACKPINK,120,2,8,2017-04-15
35,Steve Aoki,120,2,8,2017-04-15
36,Jennifer Lopez,21,2,317,2017-04-15
37,Jacob Sartorius,48,2,43,2017-04-15
38,twenty one pilots,44,2,50,2017-04-15
39,GOT7,120,2,2,2017-04-15
40,Britney Spears,30,2,283,2017-04-15
41,Taylor Swift,32,1,328,2017-04-15
42,Little Mix,120,2,130,2017-04-15
43,Zendaya,36,2,135,2017-04-15
44,Nicky Jam,47,2,14,2017-04-15
45,Mario Bautista,41,2,43,2017-04-15
46,Anitta,120,2,19,2017-04-15
47,Future,29,13,41,2017-04-15
48,CNCO,35,2,7,2017-04-15
49,Camila Cabello,25,2,62,2017-04-15
50,Lucy Hale,34,2,139,2017-04-15
1,BTS,2,13,24,2017-04-08
2,Justin Bieber,1,1,331,2017-04-08
3,Drake,13,13,306,2017-04-08
4,Ariana Grande,3,13,227,2017-04-08
5,Shawn Mendes,6,13,118,2017-04-08
6,Ed Sheeran,5,3,116,2017-04-08
7,Selena Gomez,4,13,327,2017-04-08
8,Zayn,12,13,59,2017-04-08
9,Maluma,8,13,23,2017-04-08
10,Chris Brown,17,13,301,2017-04-08
11,Demi Lovato,9,13,320,2017-04-08
12,Nicki Minaj,40,13,326,2017-04-08
13,Chuck Berry,120,13,1,2017-04-08
14,The Weeknd,10,13,79,2017-04-08
15,Lauren Jauregui,7,13,16,2017-04-08
16,Adele,35,1,239,2017-04-08
17,Rihanna,18,1,320,2017-04-08
18,Shakira,15,13,325,2017-04-08
19,Beyonce,28,1,322,2017-04-08
20,Katy Perry,20,1,327,2017-04-08
21,Jennifer Lopez,31,13,316,2017-04-08
22,Bruno Mars,21,2,260,2017-04-08
