rank,album_name,last_week,peak_position,wks_on_rank,artist_name,date
1, More Life ,1,1,2, Drake , 4/15/2017
2, Divide ,2,1,4, Ed Sheeran , 4/15/2017
3, Tremaine The Album ,120,3,1, Trey Songz , 4/15/2017
4, Beauty And The Beast (2017) ,4,3,3, Soundtrack , 4/15/2017
5, Hardwired...To Self-Destruct ,19,1,19, Metallica , 4/15/2017
6, 24K Magic ,6,2,19, Bruno Mars , 4/15/2017
7, Moana ,7,2,19, Soundtrack , 4/15/2017
8, Rather You Than Me ,3,3,2, Rick Ross , 4/15/2017
9, FUTURE ,8,1,6, Future , 4/15/2017
10, Starboy ,9,1,18, The Weeknd , 4/15/2017
11, Culture ,10,1,9, Migos , 4/15/2017
12, American Teen ,16,9,4, Khalid , 4/15/2017
13, Stoney ,15,6,16, Post Malone , 4/15/2017
14, Trolls ,13,3,27, Soundtrack , 4/15/2017
15, HNDRXX ,12,1,5, Future , 4/15/2017
16, I Decided. ,14,1,8, Big Sean , 4/15/2017
17, Hamilton: An American Musical ,20,3,79, Original Broadway Cast , 4/15/2017
18, Views ,18,1,48, Drake , 4/15/2017
19, The RCA-List  Vol 4 ,21,10,8, Various Artists , 4/15/2017
20, Wildhorse ,120,20,1, RaeLynn , 4/15/2017
21, Sing ,37,8,16, Soundtrack , 4/15/2017
22, ANTI ,22,1,62, Rihanna , 4/15/2017
23, Blurryface ,23,1,98, twenty one pilots , 4/15/2017
24, Ransom 2 ,120,24,1, Mike WiLL Made-It , 4/15/2017
25, Ripcord ,30,4,47, Keith Urban , 4/15/2017
26, Birds In The Trap Sing McKnight ,25,1,30, Travis Scott , 4/15/2017
27, Coloring Book ,28,8,46, Chance The Rapper , 4/15/2017
28,25,27,1,71, Adele , 4/15/2017
29, Collage (EP) ,31,6,21, The Chainsmokers , 4/15/2017
30, Sremmlife 2 ,36,4,33, Rae Sremmurd , 4/15/2017
31, Fifty Shades Darker ,24,1,7, Soundtrack , 4/15/2017
32, 4 Your Eyez Only ,34,1,16, J. Cole , 4/15/2017
33, Flowers In The Dirt ,120,21,50, Paul McCartney , 4/15/2017
34, Dangerous Woman ,32,2,45, Ariana Grande , 4/15/2017
35, Traveller ,38,1,81, Chris Stapleton , 4/15/2017
36, Death Of A Bachelor ,41,1,63, Panic! At The Disco , 4/15/2017
37, x ,35,1,145, Ed Sheeran , 4/15/2017
38, Dig Your Roots ,42,2,31, Florida Georgia Line , 4/15/2017
