rank,song_name,last_week,peak_position,wks_on_rank,artist_name,date
1, Shape Of You ,1,1,14, Ed Sheeran , 4/29/2017
2, That's What I Like ,3,2,13, Bruno Mars , 4/29/2017
3, Humble. ,2,2,2, Kendrick Lamar , 4/29/2017
4, Sign Of The Times ,120,4,1, Harry Styles , 4/29/2017
5, Something Just Like This ,5,3,8, The Chainsmokers & Coldplay , 4/29/2017
6, iSpy ,4,4,16, KYLE Featuring Lil Yachty , 4/29/2017
7, Mask Off ,11,7,8, Future , 4/29/2017
8, XO TOUR Llif3 ,16,8,3, Lil Uzi Vert , 4/29/2017
9, Body Like A Back Road ,6,6,11, Sam Hunt , 4/29/2017
10, Paris ,9,6,13, The Chainsmokers , 4/29/2017
11, It Ain't Me ,13,11,9, Kygo x Selena Gomez , 4/29/2017
12, Issues ,22,12,12, Julia Michaels , 4/29/2017
13, Rockabye ,10,9,19, Clean Bandit Featuring Sean Paul & Anne-Marie , 4/29/2017
14, Stay ,14,14,7, Zedd & Alessia Cara , 4/29/2017
15, Tunnel Vision ,8,6,8, Kodak Black , 4/29/2017
16, Say You Won't Let Go ,17,16,25, James Arthur , 4/29/2017
17, I Feel It Coming ,7,4,21, The Weeknd Featuring Daft Punk , 4/29/2017
18, Bad And Boujee ,12,1,22, Migos Featuring Lil Uzi Vert , 4/29/2017
19, Congratulations ,25,19,16, Post Malone Featuring Quavo , 4/29/2017
20, Location ,24,20,14, Khalid , 4/29/2017
21, Cold ,28,16,9, Maroon 5 Featuring Future , 4/29/2017
22, Passionfruit ,23,8,4, Drake , 4/29/2017
23, Closer ,21,1,37, The Chainsmokers Featuring Halsey , 4/29/2017
24, Love On The Brain ,18,5,26, Rihanna , 4/29/2017
25, Bounce Back ,20,6,23, Big Sean , 4/29/2017
26, I Don't Wanna Live Forever (Fifty Shades Darker) ,15,2,18, Zayn / Taylor Swift , 4/29/2017
27, Chained To The Rhythm ,19,4,9, Katy Perry Featuring Skip Marley , 4/29/2017
28, T-Shirt ,26,19,13, Migos , 4/29/2017
29, Swang ,29,29,17, Rae Sremmurd , 4/29/2017
30, 24K Magic ,27,4,27, Bruno Mars , 4/29/2017
31, Scars To Your Beautiful ,30,8,33, Alessia Cara , 4/29/2017
32, Rolex ,39,32,9, Ayo & Teo , 4/29/2017
33, Can't Stop The Feeling! ,32,1,49, Justin Timberlake , 4/29/2017
34, Mercy ,33,15,30, Shawn Mendes , 4/29/2017
