rank,artist_name,last_week,peak_position,wks_on_rank,date
1, The Chainsmokers ,5,1,72, 4/29/2017
2, Ed Sheeran ,1,1,140, 4/29/2017
3, Drake ,2,1,146, 4/29/2017
4, Bruno Mars ,3,1,134, 4/29/2017
5, Harry Styles ,90,5,2, 4/29/2017
6, Kendrick Lamar ,4,1,117, 4/29/2017
7, Future ,8,1,91, 4/29/2017
8, Pentatonix ,120,1,38, 4/29/2017
9, The Weeknd ,7,1,131, 4/29/2017
10, Rihanna ,12,2,142, 4/29/2017
11, Metallica ,18,2,96, 4/29/2017
12, Sam Hunt ,11,5,139, 4/29/2017
13, Migos ,17,1,27, 4/29/2017
14, Maroon 5 ,24,1,146, 4/29/2017
15, Kodak Black ,6,6,15, 4/29/2017
16, Alessia Cara ,19,12,84, 4/29/2017
17, Adele ,16,1,115, 4/29/2017
18, Joey Bada$$ ,120,15,2, 4/29/2017
19, Shawn Mendes ,14,1,114, 4/29/2017
20, twenty one pilots ,20,1,104, 4/29/2017
21, Father John Misty ,120,21,2, 4/29/2017
22, Big Sean ,22,2,88, 4/29/2017
23, Keith Urban ,9,8,107, 4/29/2017
24, Katy Perry ,25,6,140, 4/29/2017
25, Lil Uzi Vert ,27,16,41, 4/29/2017
26, Julia Michaels ,47,26,10, 4/29/2017
27, Justin Bieber ,32,1,145, 4/29/2017
28, Ariana Grande ,21,1,144, 4/29/2017
29, BTS ,31,16,27, 4/29/2017
30, James Arthur ,30,29,15, 4/29/2017
31, Coldplay ,35,4,98, 4/29/2017
32, Lady Gaga ,28,1,46, 4/29/2017
33, Florida Georgia Line ,29,1,146, 4/29/2017
34, Halsey ,65,4,70, 4/29/2017
35, Clean Bandit ,37,30,32, 4/29/2017
36, Khalid ,43,28,6, 4/29/2017
37, Taylor Swift ,34,1,142, 4/29/2017
38, Selena Gomez ,63,2,122, 4/29/2017
39, Brett Young ,38,28,19, 4/29/2017
40, Imagine Dragons ,39,2,114, 4/29/2017
41, KYLE ,58,41,12, 4/29/2017
42, Jason Aldean ,36,1,137, 4/29/2017
43, Post Malone ,50,20,42, 4/29/2017
44, Rae Sremmurd ,48,5,110, 4/29/2017
45, Thomas Rhett ,26,7,115, 4/29/2017
46, Bethel Music ,120,32,3, 4/29/2017
47, Miranda Lambert ,13,6,66, 4/29/2017
48, Luke Bryan ,23,1,145, 4/29/2017
49, Beyonce ,42,2,144, 4/29/2017
50, Justin Timberlake ,51,5,100, 4/29/2017
51, Marian Hill ,52,29,13, 4/29/2017
52, Jon Pardi ,41,28,26, 4/29/2017
53, Travis Scott ,45,5,57, 4/29/2017
54, Panic! At The Disco ,62,3,73, 4/29/2017
55, J. Cole ,59,1,105, 4/29/2017
56, Calvin Harris ,53,9,107, 4/29/2017
57, Eminem ,57,11,146, 4/29/2017
58, Chris Brown ,61,1,140, 4/29/2017
59, MercyMe ,15,15,2, 4/29/2017
60, Sia ,70,5,146, 4/29/2017
61, Gucci Mane ,67,6,27, 4/29/2017
62, Zedd ,79,17,34, 4/29/2017
63, Tech N9ne ,120,16,4, 4/29/2017
64, Zayn ,56,1,51, 4/29/2017
65, Lorde ,77,21,44, 4/29/2017
66, Josh Turner ,75,21,5, 4/29/2017
67, Blake Shelton ,54,1,146, 4/29/2017
68, Meghan Trainor ,120,1,141, 4/29/2017
69, Dierks Bentley ,40,3,79, 4/29/2017
70, Michael Jackson ,69,25,114, 4/29/2017
71, Carrie Underwood ,55,3,133, 4/29/2017
72, Brantley Gilbert ,76,3,52, 4/29/2017
73, Little Big Town ,33,7,65, 4/29/2017
74, Lil Yachty ,93,50,34, 4/29/2017
75, The New Pornographers ,120,75,2, 4/29/2017
76, Childish Gambino ,86,7,33, 4/29/2017
77, Kygo ,92,44,9, 4/29/2017
78, The Maine ,120,78,1, 4/29/2017
79, Kelsea Ballerini ,71,44,50, 4/29/2017
80, Gorillaz ,120,53,2, 4/29/2017
81, Luke Combs ,96,78,6, 4/29/2017
82, Train ,80,14,17, 4/29/2017
83, Falling In Reverse ,120,55,2, 4/29/2017
84, Shakira ,120,35,31, 4/29/2017
85, Linkin Park ,83,49,17, 4/29/2017
86, DJ Khaled ,98,3,42, 4/29/2017
87, Daft Punk ,87,35,30, 4/29/2017
88, Jason Derulo ,120,4,104, 4/29/2017
89, John Legend ,85,15,100, 4/29/2017
90, Chris Stapleton ,72,2,77, 4/29/2017
91, Nicki Minaj ,78,2,136, 4/29/2017
92, Joey Feek ,120,92,1, 4/29/2017
93, Rick Ross ,49,4,7, 4/29/2017
94, Kevin Gates ,120,5,48, 4/29/2017
95, Rascal Flatts ,120,94,6, 4/29/2017
96, Cole Swindell ,84,10,123, 4/29/2017
97, XXXTENTACION ,100,97,2, 4/29/2017
98, Reba McEntire ,64,8,13, 4/29/2017
99, Trey Songz ,66,1,70, 4/29/2017
100, P!nk ,120,16,64, 4/29/2017
