rank,song_name,last_week,peak_position,wks_on_rank,artist_name,date
1, Shape Of You ,1,1,12, Ed Sheeran , 4/15/2017
2, That's What I Like ,2,2,11, Bruno Mars , 4/15/2017
3, Something Just Like This ,7,3,6, The Chainsmokers & Coldplay , 4/15/2017
4, I Feel It Coming ,5,4,19, The Weeknd Featuring Daft Punk , 4/15/2017
5, iSpy ,12,5,14, KYLE Featuring Lil Yachty , 4/15/2017
6, Bad And Boujee ,4,1,20, Migos Featuring Lil Uzi Vert , 4/15/2017
7, I Don't Wanna Live Forever (Fifty Shades Darker) ,3,2,16, Zayn / Taylor Swift , 4/15/2017
8, Tunnel Vision ,6,6,6, Kodak Black , 4/15/2017
9, Paris ,10,6,11, The Chainsmokers , 4/15/2017
10, Passionfruit ,8,8,2, Drake , 4/15/2017
11, Rockabye ,13,9,17, Clean Bandit Featuring Sean Paul & Anne-Marie , 4/15/2017
12, Body Like A Back Road ,16,6,9, Sam Hunt , 4/15/2017
13, Chained To The Rhythm ,19,4,7, Katy Perry Featuring Skip Marley , 4/15/2017
14, Love On The Brain ,11,5,24, Rihanna , 4/15/2017
15, It Ain't Me ,20,12,7, Kygo x Selena Gomez , 4/15/2017
16, Bounce Back ,14,6,21, Big Sean , 4/15/2017
17, Stay ,21,17,5, Zedd & Alessia Cara , 4/15/2017
18, Mask Off ,24,11,6, Future , 4/15/2017
19, Say You Won't Let Go ,22,17,23, James Arthur , 4/15/2017
20, Closer ,17,1,35, The Chainsmokers Featuring Halsey , 4/15/2017
21, Portland ,9,9,2, Drake Featuring Quavo & Travis Scott , 4/15/2017
22, The Heart Part 4 ,120,22,1, Kendrick Lamar , 4/15/2017
23, Issues ,26,22,10, Julia Michaels , 4/15/2017
24, Location ,32,24,12, Khalid , 4/15/2017
25, T-Shirt ,25,19,11, Migos , 4/15/2017
26, Mercy ,23,15,28, Shawn Mendes , 4/15/2017
27, Fake Love ,15,8,23, Drake , 4/15/2017
28, Congratulations ,30,25,14, Post Malone Featuring Quavo , 4/15/2017
29, 24K Magic ,27,4,25, Bruno Mars , 4/15/2017
30, Cold ,31,16,7, Maroon 5 Featuring Future , 4/15/2017
31, Can't Stop The Feeling! ,33,1,47, Justin Timberlake , 4/15/2017
32, Scars To Your Beautiful ,34,8,31, Alessia Cara , 4/15/2017
33, Down ,28,21,11, Marian Hill , 4/15/2017
34, Swang ,41,29,15, Rae Sremmurd , 4/15/2017
35, Starboy ,37,1,28, The Weeknd Featuring Daft Punk , 4/15/2017
36, Rolex ,42,34,7, Ayo & Teo , 4/15/2017
37, Million Reasons ,46,4,19, Lady Gaga , 4/15/2017
38, Dirt On My Boots ,43,37,17, Jon Pardi , 4/15/2017
39, Bad Things ,39,4,22, Machine Gun Kelly x Camila Cabello , 4/15/2017
