rank,last_wks,peak_position,wks_on_rank,date,album,artist,social,label,Class
1,1,1,11,4/8/2017,2.00E+00,2.00E+00,6.00E+00,1.00E+00,TRUE
2,2,2,10,4/8/2017,6.00E+00,3.00E+00,2.20E+01,1.00E+00,TRUE
3,4,2,15,4/8/2017,2.50E+02,1.20E+02,1.20E+02,-1.00E+00,FALSE
4,3,1,19,4/8/2017,2.50E+02,1.20E+02,1.20E+02,-1.00E+00,FALSE
5,5,4,18,4/8/2017,2.50E+02,1.20E+02,1.20E+02,1.00E+00,TRUE
6,6,6,5,4/8/2017,1.75E+02,2.70E+01,1.20E+02,-1.00E+00,FALSE
7,8,5,5,4/8/2017,2.50E+02,1.20E+02,1.20E+02,1.00E+00,TRUE
8,120,8,1,4/8/2017,1.00E+00,1.00E+00,3.00E+00,-1.00E+00,FALSE
9,120,9,1,4/8/2017,2.50E+02,1.20E+02,1.20E+02,-1.00E+00,FALSE
10,9,6,10,4/8/2017,3.10E+01,6.00E+00,4.30E+01,1.00E+00,TRUE
11,7,5,23,4/8/2017,2.20E+01,9.00E+00,1.70E+01,-1.00E+00,FALSE
12,10,10,13,4/8/2017,2.50E+02,1.20E+02,1.20E+02,1.00E+00,TRUE
13,12,9,16,4/8/2017,2.50E+02,1.20E+02,1.20E+02,1.00E+00,TRUE
14,11,6,20,4/8/2017,1.40E+01,1.70E+01,1.20E+02,-1.00E+00,FALSE
15,31,8,22,4/8/2017,1.00E+00,1.00E+00,3.00E+00,-1.00E+00,FALSE
16,18,12,8,4/8/2017,5.80E+01,1.50E+01,1.20E+02,1.00E+00,TRUE
17,13,1,34,4/8/2017,2.50E+02,1.20E+02,1.20E+02,-1.00E+00,FALSE
18,120,18,1,4/8/2017,1.00E+00,1.00E+00,3.00E+00,-1.00E+00,FALSE
19,15,4,6,4/8/2017,2.50E+02,1.20E+02,1.20E+02,1.00E+00,TRUE
20,17,12,6,4/8/2017,2.50E+02,1.20E+02,1.20E+02,1.00E+00,TRUE
21,27,21,4,4/8/2017,2.50E+02,1.20E+02,1.20E+02,1.00E+00,TRUE
22,21,19,22,4/8/2017,4.60E+01,2.90E+01,1.20E+02,1.00E+00,TRUE
23,20,15,27,4/8/2017,4.80E+01,1.00E+01,5.00E+00,-1.00E+00,FALSE
24,19,18,5,4/8/2017,8.00E+00,7.00E+00,2.90E+01,1.00E+00,TRUE
25,26,19,10,4/8/2017,1.00E+01,1.20E+01,1.20E+02,1.00E+00,TRUE
26,24,23,9,4/8/2017,2.50E+02,4.50E+01,1.20E+02,1.00E+00,TRUE
27,22,4,24,4/8/2017,6.00E+00,3.00E+00,2.20E+01,-1.00E+00,FALSE
28,23,21,10,4/8/2017,7.00E+01,3.40E+01,1.20E+02,-1.00E+00,FALSE
29,120,29,1,4/8/2017,1.00E+00,1.00E+00,3.00E+00,-1.00E+00,FALSE
30,32,28,13,4/8/2017,2.50E+02,1.20E+02,1.20E+02,1.00E+00,TRUE
31,16,16,6,4/8/2017,2.50E+02,1.20E+02,1.20E+02,1.00E+00,TRUE
32,35,24,11,4/8/2017,1.60E+01,4.20E+01,1.20E+02,1.00E+00,TRUE
33,28,1,46,4/8/2017,2.50E+02,3.70E+01,1.20E+02,1.00E+00,TRUE
34,25,8,30,4/8/2017,9.00E+01,1.60E+01,1.20E+02,1.00E+00,TRUE
