1,Shape Of You,1,1,12,Ed Sheeran,2017-04-15
2,That's What I Like,2,2,11,Bruno Mars,2017-04-15
3,Something Just Like This,7,3,6,The Chainsmokers & Coldplay,2017-04-15
4,I Feel It Coming,5,4,19,The Weeknd Featuring Daft Punk,2017-04-15
5,iSpy,12,5,14,KYLE Featuring Lil Yachty,2017-04-15
6,Bad And Boujee,4,1,20,Migos Featuring Lil Uzi Vert,2017-04-15
7,I Don't Wanna Live Forever (Fifty Shades Darker),3,2,16,Zayn / Taylor Swift,2017-04-15
8,Tunnel Vision,6,6,6,Kodak Black,2017-04-15
9,Paris,10,6,11,The Chainsmokers,2017-04-15
10,Passionfruit,8,8,2,Drake,2017-04-15
11,Rockabye,13,9,17,Clean Bandit Featuring Sean Paul & Anne-Marie,2017-04-15
12,Body Like A Back Road,16,6,9,Sam Hunt,2017-04-15
13,Chained To The Rhythm,19,4,7,Katy Perry Featuring Skip Marley,2017-04-15
14,Love On The Brain,11,5,24,Rihanna,2017-04-15
15,It Ain't Me,20,12,7,Kygo x Selena Gomez,2017-04-15
16,Bounce Back,14,6,21,Big Sean,2017-04-15
17,Stay,21,17,5,Zedd & Alessia Cara,2017-04-15
18,Mask Off,24,11,6,Future,2017-04-15
19,Say You Won't Let Go,22,17,23,James Arthur,2017-04-15
20,Closer,17,1,35,The Chainsmokers Featuring Halsey,2017-04-15
21,Portland,9,9,2,Drake Featuring Quavo & Travis Scott,2017-04-15
22,The Heart Part 4,120,22,1,Kendrick Lamar,2017-04-15
23,Issues,26,22,10,Julia Michaels,2017-04-15
24,Location,32,24,12,Khalid,2017-04-15
25,T-Shirt,25,19,11,Migos,2017-04-15
26,Mercy,23,15,28,Shawn Mendes,2017-04-15
27,Fake Love,15,8,23,Drake,2017-04-15
28,Congratulations,30,25,14,Post Malone Featuring Quavo,2017-04-15
29,24K Magic,27,4,25,Bruno Mars,2017-04-15
30,Cold,31,16,7,Maroon 5 Featuring Future,2017-04-15
31,Can't Stop The Feeling!,33,1,47,Justin Timberlake,2017-04-15
32,Scars To Your Beautiful,34,8,31,Alessia Cara,2017-04-15
33,Down,28,21,11,Marian Hill,2017-04-15
34,Swang,41,29,15,Rae Sremmurd,2017-04-15
35,Starboy,37,1,28,The Weeknd Featuring Daft Punk,2017-04-15
36,Rolex,42,34,7,Ayo & Teo,2017-04-15
37,Million Reasons,46,4,19,Lady Gaga,2017-04-15
38,Dirt On My Boots,43,37,17,Jon Pardi,2017-04-15
39,Bad Things,39,4,22,Machine Gun Kelly x Camila Cabello,2017-04-15
40,Free Smoke,18,18,2,Drake,2017-04-15
41,Don't Wanna Know,44,6,25,Maroon 5 Featuring Kendrick Lamar,2017-04-15
42,Look At Me!,66,42,8,XXXTENTACION,2017-04-15
43,Gyalchester,29,29,2,Drake,2017-04-15
44,Despacito,52,44,11,Luis Fonsi Featuring Daddy Yankee,2017-04-15
45,Slide,55,34,5,Calvin Harris Featuring Frank Ocean & Migos,2017-04-15
46,Water Under The Bridge,53,26,21,Adele,2017-04-15
47,Party,56,40,15,Chris Brown Featuring Usher & Gucci Mane,2017-04-15
48,Blem,38,38,2,Drake,2017-04-15
49,XO TOUR Llif3,120,16,1,Lil Uzi Vert,2017-04-15
50,Both,58,41,15,Gucci Mane Featuring Drake,2017-04-15
51,In Case You Didn't Know,67,44,8,Brett Young,2017-04-15
52,Believer,57,41,8,Imagine Dragons,2017-04-15
53,Teenage Fever,35,35,2,Drake,2017-04-15
54,Redbone,71,48,17,Childish Gambino,2017-04-15
55,Hurricane,68,55,7,Luke Combs,2017-04-15
56,Sacrifices,36,36,2,Drake Featuring 2 Chainz & Young Thug,2017-04-15
57,Heavy,79,52,6,Linkin Park Featuring Kiiara,2017-04-15
58,How Far I'll Go,63,41,16,Auli'i Cravalho,2017-04-15
59,Green Light,65,19,5,Lorde,2017-04-15
60,Fast,69,58,10,Luke Bryan,2017-04-15
61,Speak To A Girl,120,61,1,Tim McGraw & Faith Hill,2017-04-15
62,Any Ol' Barstool,74,54,10,Jason Aldean,2017-04-15
63,Castle On The Hill,72,6,12,Ed Sheeran,2017-04-15
64,Shining,86,57,7,DJ Khaled Featuring Beyonce & JAY Z,2017-04-15
65,Swalla,98,52,2,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,2017-04-15
66,Still Got Time,120,66,1,Zayn Featuring PARTYNEXTDOOR,2017-04-15
67,Play That Song,77,41,18,Train,2017-04-15
68,Get It Together,45,45,2,Drake Featuring Jorja Smith & Black Coffee,2017-04-15
69,Road Less Traveled,87,67,10,Lauren Alaina,2017-04-15
70,Deja Vu,80,7,16,J. Cole,2017-04-15
71,Moves,83,38,14,Big Sean,2017-04-15
72,Hometown Girl,92,65,5,Josh Turner,2017-04-15
73,Selfish,85,37,5,Future Featuring Rihanna,2017-04-15
74,The Fighter,78,38,8,Keith Urban Featuring Carrie Underwood,2017-04-15
75,No Frauds,84,14,3,Nicki Minaj  Drake & Lil Wayne,2017-04-15
76,No Long Talk,40,40,2,Drake Featuring Giggs,2017-04-15
77,Losin Control,91,77,5,Russ,2017-04-15
78,Think A Little Less,81,54,14,Michael Ray,2017-04-15
79,KMT,48,48,2,Drake Featuring Giggs,2017-04-15
80,Call On Me,90,70,13,Starley,2017-04-15
81,The Weekend,93,69,13,Brantley Gilbert,2017-04-15
82,4422,50,50,2,Drake Featuring Sampha,2017-04-15
83,Jorja Interlude,49,49,2,Drake,2017-04-15
84,Madiba Riddim,51,51,2,Drake,2017-04-15
85,Ice Melts,62,62,2,Drake Featuring Young Thug,2017-04-15
86,Do Not Disturb,60,60,2,Drake,2017-04-15
87,Black,120,66,8,Dierks Bentley,2017-04-15
88,Yeah Boy,120,76,6,Kelsea Ballerini,2017-04-15
89,Glow,54,54,2,Drake Featuring Kanye West,2017-04-15
90,Draco,95,46,6,Future,2017-04-15
91,How Far I'll Go,100,56,17,Alessia Cara,2017-04-15
92,Scared To Be Lonely,120,88,4,Martin Garrix & Dua Lipa,2017-04-15
93,Galway Girl,89,53,4,Ed Sheeran,2017-04-15
94,Everyday,75,55,7,Ariana Grande Featuring Future,2017-04-15
95,Good Drank,120,92,3,2 Chainz x Gucci Mane x Quavo,2017-04-15
96,Prblms,120,95,2,6LACK,2017-04-15
97,Can't Have Everything,82,82,2,Drake,2017-04-15
98,Party Monster,99,16,19,The Weeknd,2017-04-15
99,Nothings Into Somethings,61,61,2,Drake,2017-04-15
100,You're Welcome,120,65,10,Dwayne Johnson,2017-04-15
1,Shape Of You,1,1,11,Ed Sheeran,2017-04-08
2,That's What I Like,2,2,10,Bruno Mars,2017-04-08
3,I Don't Wanna Live Forever (Fifty Shades Darker),4,2,15,Zayn / Taylor Swift,2017-04-08
4,Bad And Boujee,3,1,19,Migos Featuring Lil Uzi Vert,2017-04-08
5,I Feel It Coming,5,4,18,The Weeknd Featuring Daft Punk,2017-04-08
6,Tunnel Vision,6,6,5,Kodak Black,2017-04-08
7,Something Just Like This,8,5,5,The Chainsmokers & Coldplay,2017-04-08
8,Passionfruit,120,8,1,Drake,2017-04-08
9,Portland,120,9,1,Drake Featuring Quavo & Travis Scott,2017-04-08
10,Paris,9,6,10,The Chainsmokers,2017-04-08
11,Love On The Brain,7,5,23,Rihanna,2017-04-08
12,iSpy,10,10,13,KYLE Featuring Lil Yachty,2017-04-08
13,Rockabye,12,9,16,Clean Bandit Featuring Sean Paul & Anne-Marie,2017-04-08
14,Bounce Back,11,6,20,Big Sean,2017-04-08
15,Fake Love,31,8,22,Drake,2017-04-08
16,Body Like A Back Road,18,12,8,Sam Hunt,2017-04-08
17,Closer,13,1,34,The Chainsmokers Featuring Halsey,2017-04-08
18,Free Smoke,120,18,1,Drake,2017-04-08
19,Chained To The Rhythm,15,4,6,Katy Perry Featuring Skip Marley,2017-04-08
20,It Ain't Me,17,12,6,Kygo x Selena Gomez,2017-04-08
21,Stay,27,21,4,Zedd & Alessia Cara,2017-04-08
22,Say You Won't Let Go,21,19,22,James Arthur,2017-04-08
23,Mercy,20,15,27,Shawn Mendes,2017-04-08
24,Mask Off,19,18,5,Future,2017-04-08
25,T-Shirt,26,19,10,Migos,2017-04-08
26,Issues,24,23,9,Julia Michaels,2017-04-08
27,24K Magic,22,4,24,Bruno Mars,2017-04-08
28,Down,23,21,10,Marian Hill,2017-04-08
29,Gyalchester,120,29,1,Drake,2017-04-08
30,Congratulations,32,28,13,Post Malone Featuring Quavo,2017-04-08
31,Cold,16,16,6,Maroon 5 Featuring Future,2017-04-08
32,Location,35,24,11,Khalid,2017-04-08
33,Can't Stop The Feeling!,28,1,46,Justin Timberlake,2017-04-08
34,Scars To Your Beautiful,25,8,30,Alessia Cara,2017-04-08
35,Teenage Fever,120,35,1,Drake,2017-04-08
36,Sacrifices,120,36,1,Drake Featuring 2 Chainz & Young Thug,2017-04-08
37,Starboy,30,1,27,The Weeknd Featuring Daft Punk,2017-04-08
38,Blem,120,38,1,Drake,2017-04-08
39,Bad Things,29,4,21,Machine Gun Kelly x Camila Cabello,2017-04-08
