"rank","song_name","last_week","peak_position","wks_on_rank","artist_name"
1 , Shape Of You , 1 , 1 , 11 , Ed Sheeran
2 , That's What I Like , 2 , 2 , 10 , Bruno Mars
3 , I Don't Wanna Live Forever (Fifty Shades Darker) , 4 , 2 , 15 , Zayn / Taylor Swift
4 , Bad And Boujee , 3 , 1 , 19 , Migos Featuring Lil Uzi Vert
5 , I Feel It Coming , 5 , 5 , 18 , The Weeknd Featuring Daft Punk
6 , Tunnel Vision , 6 , 6 , 5 , Kodak Black
7 , Something Just Like This , 8 , 5 , 5 , The Chainsmokers & Coldplay
8 , Passionfruit , -- , 8 , 1 , Drake
9 , Portland , -- , 9 , 1 , Drake Featuring Quavo & Travis Scott
10 , Paris , 9 , 6 , 10 , The Chainsmokers
11 , Love On The Brain , 7 , 5 , 23 , Rihanna
12 , iSpy , 10 , 10 , 13 , KYLE Featuring Lil Yachty
13 , Rockabye , 12 , 9 , 16 , Clean Bandit Featuring Sean Paul & Anne-Marie
14 , Bounce Back , 11 , 6 , 20 , Big Sean
15 , Fake Love , 31 , 8 , 22 , Drake
16 , Body Like A Back Road , 18 , 16 , 8 , Sam Hunt
17 , Closer , 13 , 1 , 34 , The Chainsmokers Featuring Halsey
18 , Free Smoke , -- , 18 , 1 , Drake
19 , Chained To The Rhythm , 15 , 4 , 6 , Katy Perry Featuring Skip Marley
20 , It Ain't Me , 17 , 12 , 6 , Kygo x Selena Gomez
21 , Stay , 27 , 21 , 4 , Zedd & Alessia Cara
22 , Say You Won't Let Go , 21 , 21 , 22 , James Arthur
23 , Mercy , 20 , 15 , 27 , Shawn Mendes
24 , Mask Off , 19 , 19 , 5 , Future
25 , T-Shirt , 26 , 19 , 10 , Migos
26 , Issues , 24 , 24 , 9 , Julia Michaels
27 , 24K Magic , 22 , 4 , 24 , Bruno Mars
28 , Down , 23 , 21 , 10 , Marian Hill
29 , Gyalchester , -- , 29 , 1 , Drake
30 , Congratulations , 32 , 30 , 13 , Post Malone Featuring Quavo
31 , Cold , 16 , 16 , 6 , Maroon 5 Featuring Future
32 , Location , 35 , 32 , 11 , Khalid
33 , Can't Stop The Feeling! , 28 , 1 , 46 , Justin Timberlake
34 , Scars To Your Beautiful , 25 , 8 , 30 , Alessia Cara
35 , Teenage Fever , -- , 35 , 1 , Drake
36 , Sacrifices , -- , 36 , 1 , Drake Featuring 2 Chainz & Young Thug
37 , Starboy , 30 , 1 , 27 , The Weeknd Featuring Daft Punk
38 , Blem , -- , 38 , 1 , Drake
39 , Bad Things , 29 , 4 , 21 , Machine Gun Kelly x Camila Cabello
40 , No Long Talk , -- , 40 , 1 , Drake Featuring Giggs
41 , Swang , 33 , 33 , 14 , Rae Sremmurd
42 , Rolex , 34 , 34 , 6 , Ayo & Teo
43 , Dirt On My Boots , 37 , 37 , 16 , Jon Pardi
44 , Don't Wanna Know , 36 , 6 , 24 , Maroon 5 Featuring Kendrick Lamar
45 , Get It Together , -- , 45 , 1 , Drake Featuring Jorja Smith & Black Coffee
46 , Million Reasons , 38 , 4 , 18 , Lady Gaga
47 , Let Me Love You , 41 , 4 , 33 , DJ Snake Featuring Justin Bieber
48 , KMT , -- , 48 , 1 , Drake Featuring Giggs
