1,Shape Of You,1,1,11,Ed Sheeran,2017-04-08
2,That's What I Like,2,2,10,Bruno Mars,2017-04-08
3,I Don't Wanna Live Forever (Fifty Shades Darker),4,2,15,Zayn / Taylor Swift,2017-04-08
4,Bad And Boujee,3,1,19,Migos Featuring Lil Uzi Vert,2017-04-08
5,I Feel It Coming,5,4,18,The Weeknd Featuring Daft Punk,2017-04-08
6,Tunnel Vision,6,6,5,Kodak Black,2017-04-08
7,Something Just Like This,8,5,5,The Chainsmokers & Coldplay,2017-04-08
8,Passionfruit,120,8,1,Drake,2017-04-08
9,Portland,120,9,1,Drake Featuring Quavo & Travis Scott,2017-04-08
10,Paris,9,6,10,The Chainsmokers,2017-04-08
11,Love On The Brain,7,5,23,Rihanna,2017-04-08
12,iSpy,10,10,13,KYLE Featuring Lil Yachty,2017-04-08
13,Rockabye,12,9,16,Clean Bandit Featuring Sean Paul & Anne-Marie,2017-04-08
14,Bounce Back,11,6,20,Big Sean,2017-04-08
15,Fake Love,31,8,22,Drake,2017-04-08
16,Body Like A Back Road,18,12,8,Sam Hunt,2017-04-08
17,Closer,13,1,34,The Chainsmokers Featuring Halsey,2017-04-08
18,Free Smoke,120,18,1,Drake,2017-04-08
19,Chained To The Rhythm,15,4,6,Katy Perry Featuring Skip Marley,2017-04-08
20,It Ain't Me,17,12,6,Kygo x Selena Gomez,2017-04-08
21,Stay,27,21,4,Zedd & Alessia Cara,2017-04-08
22,Say You Won't Let Go,21,19,22,James Arthur,2017-04-08
23,Mercy,20,15,27,Shawn Mendes,2017-04-08
24,Mask Off,19,18,5,Future,2017-04-08
25,T-Shirt,26,19,10,Migos,2017-04-08
26,Issues,24,23,9,Julia Michaels,2017-04-08
27,24K Magic,22,4,24,Bruno Mars,2017-04-08
28,Down,23,21,10,Marian Hill,2017-04-08
29,Gyalchester,120,29,1,Drake,2017-04-08
30,Congratulations,32,28,13,Post Malone Featuring Quavo,2017-04-08
31,Cold,16,16,6,Maroon 5 Featuring Future,2017-04-08
32,Location,35,24,11,Khalid,2017-04-08
33,Can't Stop The Feeling!,28,1,46,Justin Timberlake,2017-04-08
34,Scars To Your Beautiful,25,8,30,Alessia Cara,2017-04-08
35,Teenage Fever,120,35,1,Drake,2017-04-08
36,Sacrifices,120,36,1,Drake Featuring 2 Chainz & Young Thug,2017-04-08
37,Starboy,30,1,27,The Weeknd Featuring Daft Punk,2017-04-08
38,Blem,120,38,1,Drake,2017-04-08
39,Bad Things,29,4,21,Machine Gun Kelly x Camila Cabello,2017-04-08
40,No Long Talk,120,40,1,Drake Featuring Giggs,2017-04-08
41,Swang,33,33,14,Rae Sremmurd,2017-04-08
42,Rolex,34,34,6,Ayo & Teo,2017-04-08
43,Dirt On My Boots,37,37,16,Jon Pardi,2017-04-08
44,Don't Wanna Know,36,6,24,Maroon 5 Featuring Kendrick Lamar,2017-04-08
45,Get It Together,120,45,1,Drake Featuring Jorja Smith & Black Coffee,2017-04-08
46,Million Reasons,38,4,18,Lady Gaga,2017-04-08
47,Let Me Love You,41,4,33,DJ Snake Featuring Justin Bieber,2017-04-08
48,KMT,120,48,1,Drake Featuring Giggs,2017-04-08
49,Jorja Interlude,120,49,1,Drake,2017-04-08
50,4422,120,50,1,Drake Featuring Sampha,2017-04-08
51,Madiba Riddim,120,51,1,Drake,2017-04-08
52,Despacito,53,44,10,Luis Fonsi Featuring Daddy Yankee,2017-04-08
53,Water Under The Bridge,43,26,20,Adele,2017-04-08
54,Glow,120,54,1,Drake Featuring Kanye West,2017-04-08
55,Slide,48,34,4,Calvin Harris Featuring Frank Ocean & Migos,2017-04-08
56,Party,44,40,14,Chris Brown Featuring Usher & Gucci Mane,2017-04-08
57,Believer,42,41,7,Imagine Dragons,2017-04-08
58,Both,51,41,14,Gucci Mane Featuring Drake,2017-04-08
59,Goosebumps,50,50,20,Travis Scott,2017-04-08
60,Do Not Disturb,120,60,1,Drake,2017-04-08
61,Nothings Into Somethings,120,61,1,Drake,2017-04-08
62,Ice Melts,120,62,1,Drake Featuring Young Thug,2017-04-08
