1, Drake ,7,1,143, 2017-04-08
2, Ed Sheeran ,1,1,137, 2017-04-08
3, Bruno Mars ,3,1,131, 2017-04-08
4, Rick Ross ,120,4,4, 2017-04-08
5, The Weeknd ,5,1,128, 2017-04-08
6, The Chainsmokers ,6,1,69, 2017-04-08
7, Future ,4,1,88, 2017-04-08
8, Depeche Mode ,120,8,1, 2017-04-08
9, Rihanna ,8,2,139, 2017-04-08
10, Shawn Mendes ,12,1,111, 2017-04-08
11, Adele ,10,1,112, 2017-04-08
12, Migos ,11,1,24, 2017-04-08
13, Justin Bieber ,9,1,142, 2017-04-08
14, Metallica ,2,2,93, 2017-04-08
15, Sam Hunt ,19,1,136, 2017-04-08
16, Alessia Cara ,17,1,81, 2017-04-08
17, Big Sean ,16,1,85, 2017-04-08
18, twenty one pilots ,13,1,101, 2017-04-08
19, Maroon 5 ,14,1,143, 2017-04-08
20, Taylor Swift ,20,1,139, 2017-04-08
21, Ariana Grande ,15,1,141, 2017-04-08
22, Elevation Worship ,120,1,2, 2017-04-08
23, BTS ,37,1,24, 2017-04-08
24, Katy Perry ,25,6,137, 2017-04-08
25, Zayn ,26,1,48, 2017-04-08
26, Lady Gaga ,23,1,43, 2017-04-08
27, Kodak Black ,22,1,12, 2017-04-08
28, Keith Urban ,35,1,104, 2017-04-08
29, James Arthur ,33,1,12, 2017-04-08
30, Clean Bandit ,44,1,29, 2017-04-08
31, Luke Bryan ,41,1,142, 2017-04-08
32, Rae Sremmurd ,28,1,107, 2017-04-08
33, Chuck Berry ,120,1,1, 2017-04-08
34, Marian Hill ,31,1,10, 2017-04-08
35, Imagine Dragons ,29,2,111, 2017-04-08
36, Coldplay ,34,4,95, 2017-04-08
37, Justin Timberlake ,32,5,97, 2017-04-08
38, Jon Pardi ,36,1,23, 2017-04-08
39, Selena Gomez ,27,1,119, 2017-04-08
40, Spoon ,120,1,2, 2017-04-08
41, Little Big Town ,30,1,62, 2017-04-08
42, Khalid ,51,28,3, 2017-04-08
43, Travis Scott ,50,1,54, 2017-04-08
44, Florida Georgia Line ,43,1,143, 2017-04-08
45, Julia Michaels ,46,1,7, 2017-04-08
46, Sia ,40,1,143, 2017-04-08
47, Post Malone ,45,1,39, 2017-04-08
48, Eminem ,39,1,143, 2017-04-08
49, Gucci Mane ,55,1,24, 2017-04-08
50, Brett Young ,59,1,16, 2017-04-08
51, J. Cole ,38,1,102, 2017-04-08
52, Jason Aldean ,52,1,134, 2017-04-08
53, John Legend ,60,1,97, 2017-04-08
54, Beyonce ,48,2,141, 2017-04-08
55, Nicki Minaj ,18,1,133, 2017-04-08
56, Linkin Park ,82,49,14, 2017-04-08
