rank_v,last_wk_v,peak_position_v,wks_on_rank,aritist_v,social_v,album_v,Class
100,100,100,11,99,90,99.5,TRUE
99,99,99,10,98,58,97.5,TRUE
98,97,99,15,0,0,0,FALSE
97,98,100,19,0,0,0,FALSE
96,96,97,18,0,0,0,TRUE
95,95,95,5,74,0,13,FALSE
94,93,96,5,0,0,0,TRUE
93,0,93,1,100,96,100,FALSE
92,0,92,1,0,0,0,FALSE
91,92,95,10,95,16,85,TRUE
90,94,96,23,92,68,89.5,FALSE
89,91,91,13,0,0,0,TRUE
88,89,92,16,0,0,0,TRUE
87,90,95,20,84,0,93.5,FALSE
86,70,93,22,100,96,100,FALSE
85,83,89,8,86,0,71.5,TRUE
84,88,100,34,0,0,0,FALSE
83,0,83,1,100,96,100,FALSE
82,86,97,6,0,0,0,TRUE
81,84,89,6,0,0,0,TRUE
80,74,80,4,0,0,0,TRUE
79,80,82,22,72,0,77.5,TRUE
78,81,86,27,91,92,76.5,FALSE
77,82,83,5,94,44,96.5,TRUE
76,75,82,10,89,0,95.5,TRUE
75,77,78,9,56,0,0,TRUE
74,79,97,24,98,58,97.5,FALSE
73,78,80,10,67,0,65.5,FALSE
72,0,72,1,100,96,100,FALSE
71,69,73,13,0,0,0,TRUE
70,85,85,6,0,0,0,TRUE
69,66,77,11,59,0,92.5,TRUE
68,73,100,46,64,0,0,TRUE
67,76,93,30,85,0,55.5,TRUE
66,0,66,1,100,96,100,FALSE
65,0,65,1,0,0,0,FALSE
64,71,100,27,0,0,0,TRUE
63,0,63,1,100,96,100,FALSE
62,72,97,21,0,0,0,TRUE
61,0,61,1,0,0,0,FALSE
60,68,68,14,69,0,82.5,TRUE
59,67,67,6,0,0,0,TRUE
58,64,64,16,63,0,70,TRUE
57,65,95,24,0,0,0,TRUE
56,0,56,1,0,0,0,FALSE
55,63,97,18,75,0,78.5,TRUE
54,60,97,33,0,0,0,FALSE
53,0,53,1,0,0,0,FALSE
52,0,52,1,100,96,100,FALSE
51,0,51,1,0,0,0,FALSE
50,0,50,1,100,96,100,FALSE
49,48,57,10,0,0,0,TRUE
48,58,75,20,90,70,87,TRUE
47,0,47,1,0,0,0,FALSE
46,53,67,4,0,0,0,TRUE
45,57,61,14,0,0,0,TRUE
44,59,60,7,66,0,32.5,TRUE
43,50,60,14,0,0,0,TRUE
42,51,51,20,58,0,88,FALSE
41,0,41,1,100,96,100,FALSE
40,0,40,1,100,96,100,FALSE
39,0,39,1,0,0,0,FALSE
38,55,60,15,25,0,0,TRUE
37,0,37,1,100,96,100,FALSE
36,62,82,4,37,0,11,TRUE
35,36,40,7,0,0,0,TRUE
34,33,50,7,51,0,73.5,TRUE
33,35,46,6,23,0,10,TRUE
32,37,41,9,70,0,67,TRUE
31,0,31,1,0,0,0,FALSE
30,45,53,16,18,0,75,TRUE
29,49,95,11,99,90,99.5,TRUE
28,54,55,15,0,0,0,FALSE
27,31,39,9,49,0,54,TRUE
26,46,46,6,0,0,0,FALSE
25,0,25,1,100,96,100,FALSE
24,43,60,17,36,0,41.5,TRUE
23,14,48,7,0,0,0,TRUE
22,32,49,5,0,0,0,TRUE
21,44,94,15,50,0,83.5,TRUE
