rank_v,last_wk_v,peak_position_v,wks_on_rank,aritist_v,social_v,album_v,Class,rank-peak,peak-rank
100,100,100,11,99,90,99.5,+,0,0
99,99,99,10,98,58,97.5,+,0,0
98,97,99,15,0,0,0,-,-1,1
97,98,100,19,0,0,0,-,-3,3
96,96,97,18,0,0,0,+,-1,1
95,95,95,5,74,0,13,-,0,0
94,93,96,5,0,0,0,+,-2,2
93,0,93,1,100,96,100,-,0,0
92,0,92,1,0,0,0,-,0,0
91,92,95,10,95,16,85,+,-4,4
90,94,96,23,92,68,89.5,-,-6,6
89,91,91,13,0,0,0,+,-2,2
88,89,92,16,0,0,0,+,-4,4
87,90,95,20,84,0,93.5,-,-8,8
86,70,93,22,100,96,100,-,-7,7
85,83,89,8,86,0,71.5,+,-4,4
84,88,100,34,0,0,0,-,-16,16
83,0,83,1,100,96,100,-,0,0
82,86,97,6,0,0,0,+,-15,15
81,84,89,6,0,0,0,+,-8,8
80,74,80,4,0,0,0,+,0,0
79,80,82,22,72,0,77.5,+,-3,3
78,81,86,27,91,92,76.5,-,-8,8
77,82,83,5,94,44,96.5,+,-6,6
76,75,82,10,89,0,95.5,+,-6,6
75,77,78,9,56,0,0,+,-3,3
74,79,97,24,98,58,97.5,-,-23,23
73,78,80,10,67,0,65.5,-,-7,7
72,0,72,1,100,96,100,-,0,0
71,69,73,13,0,0,0,+,-2,2
70,85,85,6,0,0,0,+,-15,15
69,66,77,11,59,0,92.5,+,-8,8
68,73,100,46,64,0,0,+,-32,32
67,76,93,30,85,0,55.5,+,-26,26
66,0,66,1,100,96,100,-,0,0
65,0,65,1,0,0,0,-,0,0
64,71,100,27,0,0,0,+,-36,36
63,0,63,1,100,96,100,-,0,0
62,72,97,21,0,0,0,+,-35,35
61,0,61,1,0,0,0,-,0,0
60,68,68,14,69,0,82.5,+,-8,8
59,67,67,6,0,0,0,+,-8,8
58,64,64,16,63,0,70,+,-6,6
57,65,95,24,0,0,0,+,-38,38
56,0,56,1,0,0,0,-,0,0
55,63,97,18,75,0,78.5,+,-42,42
54,60,97,33,0,0,0,-,-43,43
53,0,53,1,0,0,0,-,0,0
52,0,52,1,100,96,100,-,0,0
51,0,51,1,0,0,0,-,0,0
50,0,50,1,100,96,100,-,0,0
49,48,57,10,0,0,0,+,-8,8
48,58,75,20,90,70,87,+,-27,27
47,0,47,1,0,0,0,-,0,0
46,53,67,4,0,0,0,+,-21,21
45,57,61,14,0,0,0,+,-16,16
44,59,60,7,66,0,32.5,+,-16,16
43,50,60,14,0,0,0,+,-17,17
42,51,51,20,58,0,88,-,-9,9
41,0,41,1,100,96,100,-,0,0
40,0,40,1,100,96,100,-,0,0
39,0,39,1,0,0,0,-,0,0
38,55,60,15,25,0,0,+,-22,22
37,0,37,1,100,96,100,-,0,0
36,62,82,4,37,0,11,+,-46,46
35,36,40,7,0,0,0,+,-5,5
34,33,50,7,51,0,73.5,+,-16,16
33,35,46,6,23,0,10,+,-13,13
32,37,41,9,70,0,67,+,-9,9
31,0,31,1,0,0,0,-,0,0
30,45,53,16,18,0,75,+,-23,23
29,49,95,11,99,90,99.5,+,-66,66
28,54,55,15,0,0,0,-,-27,27
27,31,39,9,49,0,54,+,-12,12
26,46,46,6,0,0,0,-,-20,20
25,0,25,1,100,96,100,-,0,0
24,43,60,17,36,0,41.5,+,-36,36
23,14,48,7,0,0,0,+,-25,25
22,32,49,5,0,0,0,+,-27,27
21,44,94,15,50,0,83.5,+,-73,73
20,47,47,13,14,0,0,+,-27,27
19,0,19,1,100,96,100,-,0,0
18,28,63,13,84,0,93.5,+,-45,45
17,87,87,2,0,0,0,+,-70,70
16,42,64,4,0,0,0,+,-48,48
15,34,44,6,0,0,0,+,-29,29
14,21,32,9,0,0,0,+,-18,18
13,0,13,1,0,0,0,-,0,0
12,38,48,3,99,90,99.5,-,-36,36
11,26,31,12,0,0,0,+,-20,20
10,22,24,4,4,0,0,+,-14,14
9,20,29,4,33,0,63,+,-20,20
8,17,32,12,41,0,72.5,+,-24,24
7,41,64,3,99,90,99.5,-,-57,57
6,27,55,5,94,44,96.5,+,-49,49
5,18,30,15,0,0,0,-,-25,25
4,0,4,1,0,0,0,-,0,0
3,0,36,1,0,0,0,+,-33,33
2,24,85,18,96,74,96,+,-83,83
1,25,45,16,85,0,55.5,+,-44,44
100,100,100,10,100,92,100,+,0,0
99,98,99,9,98,60,98.5,+,0,0
98,99,100,18,0,0,0,-,-2,2
97,97,99,14,0,0,0,+,-2,2
96,89,97,17,0,0,0,+,-1,1
95,95,95,4,79,0,26.5,+,0,0
94,96,96,22,93,66,91,-,-2,2
93,90,96,4,0,0,0,+,-3,3
92,94,95,9,95,30,86.5,-,-3,3
91,87,91,12,0,0,0,-,0,0
90,93,95,19,85,28,95,-,-5,5
89,92,92,15,0,0,0,-,-3,3
88,91,100,33,0,0,0,-,-12,12
87,0,87,1,0,0,0,-,0,0
86,88,97,5,0,0,0,-,-11,11
85,81,85,5,0,0,0,-,0,0
84,83,89,5,0,0,0,-,-5,5
83,84,89,7,82,0,74.5,+,-6,6
82,69,83,4,97,0,97.5,-,-1,1
81,86,86,26,89,90,80,-,-5,5
80,73,82,21,68,0,78,-,-2,2
79,85,97,23,98,60,98.5,-,-18,18
78,76,80,9,70,0,72.5,-,-2,2
77,74,78,8,55,0,0,-,-1,1
76,80,93,29,84,0,61.5,-,-17,17
75,71,82,9,90,0,96.5,+,-7,7
74,67,74,3,0,0,0,+,0,0
73,77,100,45,69,0,0,-,-27,27
72,79,97,20,0,0,0,-,-25,25
71,75,100,26,0,0,0,-,-29,29
70,78,93,21,94,76,92.5,+,-23,23
69,68,73,12,0,0,0,+,-4,4
68,65,68,13,73,0,87,-,0,0
67,53,67,5,0,0,0,-,0,0
66,63,77,10,50,0,94,+,-11,11
65,70,95,23,0,0,0,-,-30,30
64,59,64,15,65,0,70.5,-,0,0
63,72,97,17,78,0,82.5,-,-34,34
62,82,82,3,77,0,51,-,-20,20
61,66,100,27,0,0,0,-,-39,39
60,61,97,32,0,0,0,-,-37,37
59,60,60,6,72,0,34,-,-1,1
58,58,75,19,91,32,89,-,-17,17
57,50,61,13,0,0,0,-,-4,4
56,57,99,39,88,26,90,-,-43,43
55,41,60,14,35,0,0,-,-5,5
54,55,55,14,0,0,0,-,-1,1
53,49,67,3,0,0,0,-,-14,14
