@relation 'social_s (1)'

@attribute Date {4/8/2017,4/1/2017,3/25/2017,3/18/2017,3/11/2017,3/4/2017,2/25/2017,2/18/2017,2/11/2017,2/4/2017,1/28/2017,1/21/2017,1/14/2017,1/7/2017,12/31/2016,12/24/2016,12/17/2016,12/10/2016,12/3/2016,11/26/2016,11/19/2016,11/12/2016,11/5/2016,10/29/2016,10/22/2016,10/15/2016,10/8/2016,10/1/2016,9/24/2016,9/17/2016,9/10/2016,9/3/2016,8/27/2016,8/20/2016,8/13/2016,8/6/2016,7/30/2016,7/23/2016,7/16/2016,7/9/2016,7/2/2016,6/25/2016,6/18/2016,6/11/2016,6/4/2016,5/28/2016,5/21/2016,5/14/2016,5/7/2016,4/30/2016,4/23/2016,4/16/2016,4/9/2016,4/2/2016,3/26/2016,3/19/2016,3/12/2016,3/5/2016,2/27/2016,2/20/2016,2/13/2016,2/6/2016,1/30/2016,1/23/2016,1/16/2016,1/9/2016,1/2/2016,12/26/2015,12/19/2015,12/12/2015,12/5/2015,11/28/2015,11/21/2015,11/14/2015,11/7/2015,10/31/2015,10/24/2015,10/17/2015,10/10/2015,10/3/2015,9/26/2015,9/19/2015,9/12/2015,9/5/2015,8/29/2015,8/22/2015,8/15/2015,8/8/2015,8/1/2015,7/25/2015,7/18/2015,7/11/2015,7/4/2015,6/27/2015,6/20/2015,6/13/2015,6/6/2015,5/30/2015,5/23/2015,5/16/2015,5/9/2015,5/2/2015,4/25/2015,4/18/2015,4/11/2015,4/4/2015,3/28/2015,3/21/2015,3/14/2015,3/7/2015,2/28/2015,2/21/2015,2/14/2015,2/7/2015,1/31/2015,1/24/2015,1/17/2015,1/10/2015,1/3/2015,12/27/2014,12/20/2014,12/13/2014,12/6/2014,11/29/2014,11/22/2014,11/15/2014,11/8/2014,11/1/2014,10/25/2014,10/18/2014,10/11/2014,10/4/2014,9/27/2014,9/20/2014,9/13/2014,9/6/2014,8/30/2014,8/23/2014,8/16/2014,8/9/2014,8/2/2014,7/26/2014}
@attribute S_rank numeric
@attribute S_last_week numeric
@attribute S_peak_position numeric
@attribute S_wks_on_rank numeric
@attribute A_rank numeric
@attribute A_last_week numeric
@attribute A_peak_position numeric
@attribute A_wks_on_rank numeric
@attribute O_rank numeric
@attribute O_last_week numeric
@attribute O_peak_position numeric
@attribute O_wks_on_rank numeric
@attribute Cls numeric
@attribute Class numeric

@data
4/8/2017,8,120,8,1,1,7,1,143,3,13,13,306,-112,0
4/8/2017,15,31,8,22,1,7,1,143,3,13,13,306,-16,0
4/8/2017,18,120,18,1,1,7,1,143,3,13,13,306,-102,0
4/8/2017,29,120,29,1,1,7,1,143,3,13,13,306,-91,0
4/8/2017,35,120,35,1,1,7,1,143,3,13,13,306,-85,0
4/8/2017,38,120,38,1,1,7,1,143,3,13,13,306,-82,0
4/8/2017,49,120,49,1,1,7,1,143,3,13,13,306,-71,0
4/8/2017,51,120,51,1,1,7,1,143,3,13,13,306,-69,0
4/8/2017,60,120,60,1,1,7,1,143,3,13,13,306,-60,0
4/8/2017,61,120,61,1,1,7,1,143,3,13,13,306,-59,0
4/8/2017,64,120,64,1,1,7,1,143,3,13,13,306,-56,0
4/8/2017,76,120,76,1,1,7,1,143,3,13,13,306,-44,0
4/8/2017,82,120,82,1,1,7,1,143,3,13,13,306,-38,0
4/8/2017,1,1,1,11,2,1,1,137,6,5,3,116,0,1
4/8/2017,72,52,6,11,2,1,1,137,6,5,3,116,20,1
4/8/2017,89,63,53,3,2,1,1,137,6,5,3,116,26,1
4/8/2017,94,60,37,3,2,1,1,137,6,5,3,116,34,1
4/8/2017,2,2,2,10,3,3,1,131,22,21,2,260,0,1
4/8/2017,27,22,4,24,3,3,1,131,22,21,2,260,5,1
4/8/2017,99,77,16,18,5,5,1,128,14,10,13,79,22,1
4/8/2017,10,9,6,10,6,6,1,69,43,36,13,33,1,1
4/8/2017,24,19,18,5,7,4,1,88,29,120,13,40,5,1
4/8/2017,95,74,46,5,7,4,1,88,29,120,13,40,21,1
4/8/2017,11,7,5,23,9,8,2,139,17,18,1,320,4,1
4/8/2017,23,20,15,27,10,12,1,111,5,6,13,118,3,1
4/8/2017,53,43,26,20,11,10,1,112,16,35,1,239,10,1
4/1/2017,1,1,1,10,1,1,1,136,5,4,3,115,0,1
4/1/2017,52,39,6,10,1,1,1,136,5,4,3,115,13,1
4/1/2017,60,37,37,2,1,1,1,136,5,4,3,115,23,1
4/1/2017,63,53,53,2,1,1,1,136,5,4,3,115,10,1
4/1/2017,85,49,49,2,1,1,1,136,5,4,3,115,36,1
4/1/2017,94,59,59,2,1,1,1,136,5,4,3,115,35,1
4/1/2017,2,3,2,9,3,2,1,130,21,35,2,259,-1,0
4/1/2017,22,16,4,23,3,2,1,130,21,35,2,259,6,1
4/1/2017,77,76,16,17,5,5,1,127,10,10,13,78,1,1
4/1/2017,9,7,6,9,6,7,1,68,36,41,13,32,2,1
4/1/2017,31,23,8,21,7,8,1,142,13,15,13,305,8,1
4/1/2017,7,5,5,22,8,6,2,138,18,3,1,319,2,1
4/1/2017,43,43,26,19,10,10,1,111,35,28,1,238,0,1
4/1/2017,20,15,15,26,12,11,1,110,6,8,13,117,5,1
4/1/2017,45,44,2,39,13,12,1,100,38,31,13,48,1,1
4/1/2017,11,8,6,19,16,13,1,84,37,47,13,32,3,1
4/1/2017,73,71,38,12,16,13,1,84,37,47,13,32,2,1
